[2025-02-01T08:52:07.431+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-01T08:52:07.453+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-01-31T00:00:00+00:00 [queued]>
[2025-02-01T08:52:07.461+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-01-31T00:00:00+00:00 [queued]>
[2025-02-01T08:52:07.462+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-02-01T08:52:07.475+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): get_data> on 2025-01-31 00:00:00+00:00
[2025-02-01T08:52:07.497+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2025-01-31T00:00:00+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmptvzvax3a']
[2025-02-01T08:52:07.501+0000] {standard_task_runner.py:105} INFO - Job 16: Subtask get_data
[2025-02-01T08:52:07.500+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=82024) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-02-01T08:52:07.766+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_amop', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.767+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_amproc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.767+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_language', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.767+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_largeobject_metadata', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.767+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_aggregate', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.767+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_statistic_ext', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.767+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_rewrite', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.768+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.768+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_event_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.768+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_description', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.768+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_cast', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.768+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_stat_progress_cluster', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-01T08:52:07.768+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_stat_progress_create_index', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-01T08:52:07.768+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_stat_progress_basebackup', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-01T08:52:07.769+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_user_mappings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-01T08:52:07.769+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_enum', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.769+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_namespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.769+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_conversion', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.769+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_depend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-01T08:52:07.769+0000] {logging_mixin.py:190} INFO - ('postgres', 'pg_catalog', 'pg_database', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
